Type,Unique Name,Display Name,Description,Essentials,Quest Log Widget,Quest Completed Widget,Quest Failed Widget,Sequences,Rewards,Quests To Add On Completed
Side,Community_Outreach,Community Outreach,Assist in educating younger members of the Remnants about survival skills or history.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Knowledgeable in subject matter, communication skills.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Teaching Aids; Skill: Mentorship; Knowledge: Improved community relations.,
Side,Water_Purification,Water Purification,Improve the water purification system in a Remnant settlement.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Engineering skills, Remnant trust.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Purified Water Supplies; Skill: Water Treatment; Knowledge: Health benefits for the settlement.,
Side,Emergency_Repairs,Emergency Repairs,"Assist in making emergency repairs after a minor disaster, such as a storm or small attack.","(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Repair skills, teamwork.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Repair Tools; Skill: Emergency Response; Knowledge: Increased trust from Remnant leaders.,
Side,Cultural_Exchange,Cultural Exchange,Organize a cultural exchange event with another friendly group to share knowledge and traditions.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Organizational skills, diplomacy.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Cultural Artifacts; Skill: Event Coordination; Knowledge: Strengthened alliances.,
Side,Energy_Source_Investigation,Energy Source Investigation,Investigate an unusual energy reading at an old power plant for potential reuse.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Exploration skills, Reclaimer trust.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Energy Samples; Skill: Energy Analysis; Knowledge: Potential new power source.,
Side,Safe_Transport,Safe Transport,Escort a shipment of delicate equipment to a Reclaimer facility without damage.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Protective skills, careful handling.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Equipment Access; Skill: Logistics Management; Knowledge: Improved Reclaimer operations.,
Side,Prototype_Shield_Test,Prototype Shield Test,Test a new energy shield prototype in controlled conditions.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Willingness to participate in experiments, Reclaimer trust.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Energy Shield Device; Skill: Shield Operation; Knowledge: Advanced defensive tech.,
Side,Machine_Dialogue,Machine Dialogue,Attempt communication with a non-hostile machine to gather data on AI behavior.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Hacking or language skills, cautious approach.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Communication Logs; Skill: AI Linguistics; Knowledge: Improved understanding of machines.,
Side,Resource_Allocation,Resource Allocation,Assist in planning the allocation of limited resources for maximum efficiency.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Analytical skills, understanding of Reclaimer needs.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Resource Planner Access; Skill: Resource Management; Knowledge: Enhanced Reclaimer productivity.,
Side,Terrain_Mapping,Terrain Mapping,Assist in updating terrain maps for better machine navigation and planning.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Mapping skills, Alpha-7's directives.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Updated Terrain Data; Skill: Cartography Enhancement; Knowledge: Improved machine navigation.,
Side,Self-Diagnostics,Self-Diagnostics,Run diagnostic checks on specific machine units and report any anomalies.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Technical skills, careful handling.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Diagnostic Tools; Skill: Machine Diagnostics; Knowledge: Machine health status.,
Side,Waste_Disposal,Waste Disposal,Help in disposing of obsolete or damaged machine parts in an efficient manner.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Understanding of disposal protocols, Alpha-7's trust.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Recycled Materials; Skill: Waste Management; Knowledge: Environmental impact reduction.,
Side,Component_Upgrade,Component Upgrade,Assist in upgrading machine components to improve performance.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Technical skills, precision.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Upgraded Components; Skill: Component Upgrades; Knowledge: Enhanced machine capabilities.,
Side,Stealth_Observation,Stealth Observation,Monitor human settlements from a distance to gather behavioral data without detection.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Stealth, observation equipment.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Observation Data; Skill: Advanced Surveillance; Knowledge: Human behavior patterns.,
